Cycle#,ChargeOhms,DischargeOhms,MaxV,MinV,MaxOCV,MinOCV,CoulombicEff,EnergyEff,ChargeCapacity(AHrs),DischargeCapacity(AHrs),ChargeEnergy(WHrs),DischargeEnergy(WHrs)
1,0.155642412307,0.146464545527,1.17014,1.08085,1.32584,1.22742,0,0,0.0,1.00001170602,0.0,1.11397979423
2,0.147552153003,0.14499635135,1.55986,1.08847,1.41238,1.23352,0.952370945437,0.727794136747,1.05002372765,1.00001209024,1.5841616733,1.15294357749
3,0.145421110923,0.141598049404,1.56687,1.097,1.42152,1.2387,0.952390446884,0.732419398009,1.05001665609,1.00002583233,1.5871819321,1.16248283524
4,0.144759108202,0.140118156282,1.57327,1.10249,1.42853,1.24266,0.952384345259,0.734734412712,1.05000796763,1.00001115077,1.58837767876,1.16703574097
5,0.145411106031,0.139498385597,1.58058,1.10676,1.43524,1.24631,0.952415167951,0.735726439165,1.05001581651,1.00005099023,1.59054809769,1.17020828824
6,0.145979269264,0.138800095896,1.58729,1.11072,1.44133,1.24967,0.952355279668,0.73647366126,1.0500385548,1.00000976152,1.59260388937,1.17291081734
7,0.146331556131,0.137630905748,1.59338,1.11529,1.44712,1.25302,0.952395611359,0.737256841225,1.04999997146,1.00001536475,1.59443832316,1.17551056166
8,0.147252006231,0.137069284365,1.59978,1.11864,1.4526,1.25576,0.95237432483,0.737556861604,1.05000834165,1.00000098545,1.59614909288,1.1772507156
9,0.147852299775,0.136102006555,1.60648,1.12169,1.4587,1.25789,0.952441433547,0.737779000739,1.05000882948,1.00007191479,1.59793796566,1.17892507555
10,0.149373043418,0.136459509981,1.61166,1.12443,1.46236,1.26094,0.952370498876,0.737953881767,1.05001971517,1.00000779996,1.59937655426,1.18026613662
11,0.149082901539,0.135898641014,1.61502,1.12687,1.46601,1.26277,0.952378952252,0.738215551616,1.05001801531,1.00001505727,1.60068803149,1.18165279813
12,0.149072896646,0.135598644014,1.61989,1.12869,1.47089,1.26429,0.95237768312,0.738686785994,1.05001154463,1.00000756212,1.60143971517,1.18296235616
13,0.149639752447,0.135598644014,1.62873,1.12839,1.47911,1.26399,0.952383728071,0.738028260611,1.0500050145,1.0000076902,1.60278366525,1.1828996406
14,0.149983341854,0.134688653113,1.63299,1.12991,1.48308,1.2646,0.952374281512,0.738713498692,1.05003845254,1.0000296168,1.60334785763,1.18441470553
15,0.150539871263,0.134688653113,1.63817,1.12991,1.48765,1.2646,0.952390578339,0.738830091788,1.05001212985,1.00002165961,1.60384878003,1.18497174137
16,0.150186958869,0.134078659213,1.64335,1.12991,1.49313,1.26399,0.952382057707,0.738877869644,1.05001986574,1.00002008037,1.60446896756,1.18550661266
17,0.150796824699,0.134078659213,1.64884,1.1293,1.49801,1.26338,0.952559313373,0.739076667984,1.05000395269,1.00019104422,1.60488864566,1.18613575272
